id,submitted_on,grade,compiles,regex,regex_runtime
66c74f66ec01ef72aa803444,2024-08-22 16:47:02.155,100.0,True,False,0.04801130294799805
66c74f5fac2f50fd0ed4fddb,2024-08-22 16:46:55.063,0.0,False,False,0.008962392807006836
66be1464ec01ef72aa7fdfaa,2024-08-15 16:44:51.993,100.0,True,False,0.022086381912231445
66be14235a361291a3a99f5f,2024-08-15 16:43:47.716,0.0,False,False,0.023919343948364258
66c738b3ec01ef72aa802f73,2024-08-22 15:10:11.390,100.0,True,False,0.03200721740722656
65ddb9e66bdf0123d4a327ac,2024-02-27 11:31:02.739,100.0,True,False,0.19925856590270996
65ddb9b5de9955d7451704fd,2024-02-27 11:30:13.973,0.0,True,False,0.060006141662597656
65ddb99bde9955d7451704dc,2024-02-27 11:29:47.958,0.0,True,False,0.029997587203979492
65ddb925de9955d74517048c,2024-02-27 11:27:49.899,0.0,True,False,0.024999618530273438
66c734baac2f50fd0ed4f5d8,2024-08-22 14:53:14.632,100.0,True,False,0.027997493743896484
66c09d20ac2f50fd0ed493e2,2024-08-17 14:52:48.344,100.0,True,False,0.024220705032348633
66a10096163decb65c98a3a5,2024-07-24 15:24:38.317,100.0,True,False,0.027994155883789062
66a100851abc3550cffcf259,2024-07-24 15:24:21.599,0.0,True,False,0.030113935470581055
6684152f26943bbfc41c0344,2024-07-02 16:56:47.730,100.0,True,False,0.01497340202331543
66c7330bfda3507fd6871a9c,2024-08-22 14:46:03.764,100.0,True,False,0.02417135238647461
66c2f09cac2f50fd0ed4a8bb,2024-08-19 09:13:32.951,100.0,True,False,0.010079145431518555
66bf3645dad4f4d810cc8704,2024-08-16 13:21:41.189,100.0,True,False,0.0
66bcac731abc3550cffd6323,2024-08-14 15:09:07.410,100.0,True,False,0.010309219360351562
66ba1a9afda3507fd686be6d,2024-08-12 16:22:18.335,100.0,True,False,0.01812458038330078
66c6db7ffda3507fd68713b7,2024-08-22 08:32:31.373,100.0,True,False,0.03350090980529785
66c6db72ec01ef72aa802868,2024-08-22 08:32:18.002,0.0,True,False,0.03692626953125
66c6db6c26943bbfc41cf134,2024-08-22 08:32:12.814,0.0,False,False,0.028326034545898438
66bdeced163decb65c9909f0,2024-08-15 13:56:29.621,100.0,True,False,0.02272200584411621
66bdecb6ec01ef72aa7fde55,2024-08-15 13:55:34.722,0.0,True,False,0.01841592788696289
66c5f85f26943bbfc41ceb2f,2024-08-21 16:23:27.401,100.0,True,False,0.014372825622558594
66c5f8551abc3550cffda3fc,2024-08-21 16:23:17.011,0.0,True,False,0.018999814987182617
66c5f84a5a361291a3a9d11e,2024-08-21 16:23:06.766,0.0,True,False,0.03125643730163574
66c5f838fda3507fd6870c92,2024-08-21 16:22:48.363,0.0,True,False,0.026262998580932617
669935f426943bbfc41c334d,2024-07-18 17:34:12.865,100.0,True,False,0.028388500213623047
66c5efb6ac2f50fd0ed4dfae,2024-08-21 15:46:29.997,100.0,True,False,0.005158662796020508
660c6d6f17aa9b203ff97d30,2024-04-02 22:41:19.250,100.0,True,False,0.018996238708496094
