student_hash,id,submitted_on,grade,compiles,flake8,flake8_runtime
bd36d306cc303fb0cd58977ccfb81239,665f21c25a361291a3a7b7a6,2024-06-04 16:16:34.403,100.0,True,False,1.7886347770690918
bd36d306cc303fb0cd58977ccfb81239,665f2129dad4f4d810c973af,2024-06-04 16:14:01.811,0.0,True,False,0.4731757640838623
bd36d306cc303fb0cd58977ccfb81239,665f2045ec01ef72aa7ceb91,2024-06-04 16:10:13.674,0.0,True,False,0.45571208000183105
bd36d306cc303fb0cd58977ccfb81239,664fa18326943bbfc4192d90,2024-05-23 22:05:23.097,100.0,True,False,0.4676854610443115
bd36d306cc303fb0cd58977ccfb81239,664fa11fec01ef72aa7c3142,2024-05-23 22:03:43.544,0.0,False,False,0.0
e3ceb5881a0a1fdaad01296d7554868d,661418b36ca9014114f562d4,2024-04-08 18:17:55.063,100.0,True,False,0.5319528579711914
e3ceb5881a0a1fdaad01296d7554868d,661418a0576f08d1b3aeacda,2024-04-08 18:17:36.845,0.0,False,False,0.0
e3ceb5881a0a1fdaad01296d7554868d,65a2e9dc6e50a56ff13a2c4c,2024-01-13 20:51:56.047,100.0,True,False,0.4635176658630371
e3ceb5881a0a1fdaad01296d7554868d,65a2e9c8b2180bc51f852a1e,2024-01-13 20:51:36.848,0.0,False,False,0.0
e3ceb5881a0a1fdaad01296d7554868d,6599f7a5781f8e163a5710b3,2024-01-07 02:00:21.581,100.0,True,False,0.43009424209594727
03295c3fb0e750ac6430d548fd3d7eff,6347d789d0579510aa3bedf5,2022-10-13 11:16:57.421,0.0,False,False,0.0
2492965369077f98fd5ff13c3cc26cc3,654a56fc2e31aa841f0b7958,2023-11-07 16:25:48.070,100.0,True,False,0.6368138790130615
2492965369077f98fd5ff13c3cc26cc3,654a56a7d93140def44ef0f9,2023-11-07 16:24:23.163,0.0,True,False,0.5259473323822021
405efd75263bc0767c6864533c6b7731,65a7a493781f8e163a579daa,2024-01-17 10:57:39.340,100.0,True,False,0.7421834468841553
405efd75263bc0767c6864533c6b7731,65a7a47f79cb5dd48e3537d0,2024-01-17 10:57:19.810,0.0,True,False,0.6606240272521973
