id,submitted_on,grade,compiles,flake8,flake8_runtime
66bf9db2163decb65c9910b2,2024-08-16 20:42:58.137,100.0,True,False,1.7055690288543701
665a4fa6ac2f50fd0ed08e20,2024-06-01 00:31:02.284,100.0,True,False,0.933570146560669
65a832b30bcda0a757820450,2024-01-17 21:04:03.852,100.0,True,False,0.8126299381256104
65a832916e50a56ff13ad204,2024-01-17 21:03:29.379,0.0,False,False,0.0
65a8323079cb5dd48e356429,2024-01-17 21:01:52.959,0.0,False,False,0.0
665dbda026943bbfc419b49b,2024-06-03 14:57:04.921,100.0,True,False,0.6489155292510986
65a59f198ba6947cb336c359,2024-01-15 22:09:45.502,100.0,True,False,0.7860760688781738
65a59f0e79cb5dd48e34faf7,2024-01-15 22:09:34.814,0.0,True,False,0.927140474319458
64de6d08890e8db52cb31f60,2023-08-17 20:55:04.097,100.0,True,False,0.8531501293182373
64de6cf55e43bbb48c0e1d3d,2023-08-17 20:54:45.683,0.0,True,False,0.852236270904541
6377ca3280607efdfdbcb80f,2022-11-18 19:08:50.529,100.0,True,False,0.8354978561401367
637ca294e46f28bb708fdaf9,2022-11-22 11:21:08.017,100.0,True,False,0.8022627830505371
659eae0b0bcda0a75780ae6e,2024-01-10 15:47:39.738,0.0,True,False,0.7871265411376953
6552ae39f7a41d353885d47d,2023-11-14 00:16:09.584,100.0,True,False,0.9610738754272461
65522085c5d90a7d276abd71,2023-11-13 14:11:33.486,100.0,True,False,0.6597023010253906
65522046d93140def44f48e7,2023-11-13 14:10:30.237,0.0,False,False,0.0
6552203fd93140def44f48e2,2023-11-13 14:10:23.783,0.0,False,False,0.0
6552201fbf4a29e5c32bf026,2023-11-13 14:09:51.356,0.0,False,False,0.0
6552200dbf4a29e5c32bf01e,2023-11-13 14:09:33.241,0.0,False,False,0.0
65521ff6c5d90a7d276abd64,2023-11-13 14:09:10.921,0.0,True,False,0.6319401264190674
65521feff7a41d353885cc63,2023-11-13 14:09:03.328,0.0,False,False,0.0
6356ea37e46f28bb708aab22,2022-10-24 21:40:39.591,100.0,True,False,0.6314358711242676
65a7e5f4b2180bc51f8597ee,2024-01-17 15:36:36.321,100.0,True,False,0.6430873870849609
6377c46ca41ed832114af571,2022-11-18 18:44:12.511,100.0,True,False,0.6198630332946777
6377c42d6a7392b4e589b8c0,2022-11-18 18:43:09.184,0.0,True,False,0.6339287757873535
65534af7bf4a29e5c32c077a,2023-11-14 11:24:55.399,100.0,True,False,0.6418120861053467
6551f910bf4a29e5c32bed21,2023-11-13 11:23:12.719,100.0,True,False,0.6245741844177246
6551f8e2358432b85041194b,2023-11-13 11:22:26.373,100.0,True,False,0.636512041091919
6551f8db358432b850411946,2023-11-13 11:22:19.035,100.0,True,False,0.6443977355957031
6551f8cf108434001228a272,2023-11-13 11:22:07.215,0.0,True,False,0.6129639148712158
6551f89bf7a41d353885c9f1,2023-11-13 11:21:15.121,0.0,True,False,0.6223964691162109
