student_hash,id,submitted_on,grade,compiles,flake8,flake8_runtime
6f72567b71a5a0cbf70d8877bc38c99b,66c73a52dad4f4d810ccdbf7,2024-08-22 15:17:06.930,100.0,True,False,1.6408631801605225
6f72567b71a5a0cbf70d8877bc38c99b,66c73a46dad4f4d810ccdbed,2024-08-22 15:16:54.380,0.0,True,False,0.8788173198699951
6f72567b71a5a0cbf70d8877bc38c99b,66c73a1fec01ef72aa802f96,2024-08-22 15:16:15.457,0.0,True,False,0.9828193187713623
6f72567b71a5a0cbf70d8877bc38c99b,66c2f80726943bbfc41cca76,2024-08-19 09:45:11.113,100.0,True,False,0.8172116279602051
6f72567b71a5a0cbf70d8877bc38c99b,66c2f7f7dad4f4d810cca00c,2024-08-19 09:44:55.647,0.0,False,False,0.0
de3acebee62bcc8005b434353721874f,66c5b0faec01ef72aa801783,2024-08-21 11:18:50.800,100.0,True,False,1.0709927082061768
de3acebee62bcc8005b434353721874f,66c5b0bb26943bbfc41ce312,2024-08-21 11:17:47.000,0.0,True,False,1.1608521938323975
de3acebee62bcc8005b434353721874f,66c5b0a9163decb65c9936d0,2024-08-21 11:17:29.429,0.0,True,False,1.4056448936462402
de3acebee62bcc8005b434353721874f,66c5b02bec01ef72aa80175c,2024-08-21 11:15:23.059,0.0,True,False,0.6857731342315674
c492472e254644843523b9c609e2e5c8,66c4903ddad4f4d810ccb4d5,2024-08-20 14:46:53.643,100.0,True,False,0.638554573059082
c492472e254644843523b9c609e2e5c8,66c48fe4163decb65c992e25,2024-08-20 14:45:24.770,0.0,True,False,0.6010196208953857
c492472e254644843523b9c609e2e5c8,66c48fdadad4f4d810ccb4d0,2024-08-20 14:45:14.949,0.0,True,False,0.6568984985351562
c492472e254644843523b9c609e2e5c8,66c48f69ac2f50fd0ed4c463,2024-08-20 14:43:21.221,0.0,False,False,0.0
c492472e254644843523b9c609e2e5c8,66c48f42ac2f50fd0ed4c454,2024-08-20 14:42:42.362,0.0,False,False,0.0
14c757ea43afab80f73855d7255a7876,66c3530226943bbfc41cce77,2024-08-19 16:13:22.133,100.0,True,False,0.47551894187927246
14c757ea43afab80f73855d7255a7876,66c3529fec01ef72aa7ffec0,2024-08-19 16:11:43.337,0.0,True,False,0.44942736625671387
14c757ea43afab80f73855d7255a7876,66c3513226943bbfc41cce58,2024-08-19 16:05:38.521,0.0,True,False,0.485628604888916
54b1d109dc7156ef46816a9527a861bc,66bf55e7163decb65c990f4d,2024-08-16 15:36:39.360,100.0,True,False,0.4690523147583008
54b1d109dc7156ef46816a9527a861bc,66bf55bdac2f50fd0ed489b8,2024-08-16 15:35:57.559,0.0,True,False,0.4536895751953125
54b1d109dc7156ef46816a9527a861bc,66bf5590ac2f50fd0ed489b2,2024-08-16 15:35:12.077,0.0,True,False,0.44704294204711914
54b1d109dc7156ef46816a9527a861bc,66bf55651abc3550cffd6e4b,2024-08-16 15:34:29.461,0.0,True,False,0.46314311027526855
54b1d109dc7156ef46816a9527a861bc,66bf5558fda3507fd686d413,2024-08-16 15:34:16.069,0.0,True,False,0.4591813087463379
17b5189f093ff9aa4a5c183ae75d511d,66be0344163decb65c990ab6,2024-08-15 15:31:48.773,100.0,True,False,0.525521993637085
17b5189f093ff9aa4a5c183ae75d511d,66be0333ac2f50fd0ed48095,2024-08-15 15:31:31.190,0.0,True,False,0.5085129737854004
17b5189f093ff9aa4a5c183ae75d511d,66be031f26943bbfc41cb405,2024-08-15 15:31:11.578,100.0,True,False,0.4315962791442871
17b5189f093ff9aa4a5c183ae75d511d,66be02dc163decb65c990ab1,2024-08-15 15:30:04.795,0.0,True,False,0.4484739303588867
17b5189f093ff9aa4a5c183ae75d511d,66be022a26943bbfc41cb3f0,2024-08-15 15:27:06.892,0.0,True,False,0.5000729560852051
51446eb0517e749ea67571cf344513a4,66bcfb3126943bbfc41cb0de,2024-08-14 20:45:05.906,100.0,True,False,0.4728221893310547
51446eb0517e749ea67571cf344513a4,66bcfac5dad4f4d810cc7c76,2024-08-14 20:43:17.616,0.0,True,False,0.45892882347106934
51446eb0517e749ea67571cf344513a4,66bcfa9a1abc3550cffd652c,2024-08-14 20:42:34.765,0.0,True,False,0.45435214042663574
51446eb0517e749ea67571cf344513a4,66bcfa3cec01ef72aa7fda71,2024-08-14 20:41:00.295,0.0,True,False,0.48520445823669434
51446eb0517e749ea67571cf344513a4,66bcfa2fac2f50fd0ed47a40,2024-08-14 20:40:47.097,0.0,False,False,0.0
20a5848385106b82f4f34db4dfa1a467,66ba1fab163decb65c98fe8d,2024-08-12 16:43:55.917,100.0,True,False,0.5482649803161621
20a5848385106b82f4f34db4dfa1a467,66ba1ef7ec01ef72aa7fcdb5,2024-08-12 16:40:55.328,0.0,True,False,0.5552845001220703
20a5848385106b82f4f34db4dfa1a467,66ba1ec2ac2f50fd0ed4673c,2024-08-12 16:40:02.791,0.0,True,False,0.5411083698272705
20a5848385106b82f4f34db4dfa1a467,66ba1eab5a361291a3a9930b,2024-08-12 16:39:39.505,0.0,True,False,0.4599926471710205
20a5848385106b82f4f34db4dfa1a467,66ba1e731abc3550cffd5ac8,2024-08-12 16:38:43.314,0.0,True,False,0.4466109275817871
82c7f8a6441927177188765cbc7379d2,66b9f2bfdad4f4d810cc6be2,2024-08-12 13:32:15.411,100.0,True,False,0.46677207946777344
82c7f8a6441927177188765cbc7379d2,66b9f2a526943bbfc41ca5b3,2024-08-12 13:31:49.918,0.0,True,False,0.43186163902282715
82c7f8a6441927177188765cbc7379d2,66b9f283dad4f4d810cc6bd8,2024-08-12 13:31:15.801,100.0,True,False,0.43766307830810547
82c7f8a6441927177188765cbc7379d2,66b9f27d163decb65c98fcd5,2024-08-12 13:31:09.400,0.0,True,False,0.4471015930175781
82c7f8a6441927177188765cbc7379d2,66b9f2511abc3550cffd593e,2024-08-12 13:30:25.825,0.0,True,False,0.43906593322753906
ee2652075ad33343c79c5a6a1161371b,66b9c46dac2f50fd0ed46254,2024-08-12 10:14:37.981,0.0,True,False,0.5006797313690186
ee2652075ad33343c79c5a6a1161371b,66b9c45afda3507fd686bb4f,2024-08-12 10:14:18.830,0.0,False,False,0.0
ee2652075ad33343c79c5a6a1161371b,66b0d84726943bbfc41c8232,2024-08-05 15:48:55.616,100.0,True,False,0.43268489837646484
ee2652075ad33343c79c5a6a1161371b,66b0d7fc1abc3550cffd32ae,2024-08-05 15:47:40.181,0.0,False,False,0.0
ee2652075ad33343c79c5a6a1161371b,66b0d772dad4f4d810cc3658,2024-08-05 15:45:22.632,0.0,False,False,0.0
e979a7d01564c70afbb575cd765d4541,66b8b2e7163decb65c98f8fe,2024-08-11 14:47:34.987,0.0,True,False,0.5182793140411377
e979a7d01564c70afbb575cd765d4541,66b8b1525a361291a3a98e13,2024-08-11 14:40:50.591,0.0,True,False,0.4391329288482666
e979a7d01564c70afbb575cd765d4541,66b8b143ac2f50fd0ed45be9,2024-08-11 14:40:35.956,0.0,False,False,0.0
e979a7d01564c70afbb575cd765d4541,65a59eb4b2180bc51f8544ac,2024-01-15 22:08:04.389,0.0,True,False,0.44460058212280273
e979a7d01564c70afbb575cd765d4541,65a59e2d79cb5dd48e34faea,2024-01-15 22:05:49.206,0.0,True,False,0.43191075325012207
524e300981652af4103f3eb982728e8a,66b64f7afda3507fd686ae64,2024-08-09 19:18:50.083,100.0,True,False,0.4696526527404785
524e300981652af4103f3eb982728e8a,66b64f1f1abc3550cffd4bcd,2024-08-09 19:17:19.775,0.0,True,False,0.46957850456237793
524e300981652af4103f3eb982728e8a,66b64ef7ac2f50fd0ed44cc0,2024-08-09 19:16:39.540,0.0,True,False,0.44091200828552246
524e300981652af4103f3eb982728e8a,66b64eabec01ef72aa7fbccc,2024-08-09 19:15:23.295,0.0,True,False,0.424180269241333
524e300981652af4103f3eb982728e8a,66b64e40dad4f4d810cc595c,2024-08-09 19:13:36.083,0.0,True,False,0.4319911003112793
aada84856dc9e43f1ea94d6d41136514,66b5efaa1abc3550cffd494f,2024-08-09 12:30:02.765,0.0,True,False,0.4700169563293457
3fae60844a890e6a6c8cad8387a7545b,66b3d7775a361291a3a97e58,2024-08-07 22:22:15.441,100.0,True,False,0.4534494876861572
3fae60844a890e6a6c8cad8387a7545b,66b3d753ec01ef72aa7fafbf,2024-08-07 22:21:39.412,0.0,True,False,0.5000946521759033
5ff13bae876fbeed82738eba645b6956,66b340e6ac2f50fd0ed43246,2024-08-07 11:39:50.386,100.0,True,False,0.4806392192840576
5ff13bae876fbeed82738eba645b6956,66b340dc5a361291a3a97b6a,2024-08-07 11:39:40.717,0.0,True,False,0.47113823890686035
5ff13bae876fbeed82738eba645b6956,66b34082ac2f50fd0ed4323c,2024-08-07 11:38:10.649,0.0,True,False,0.5170714855194092
cb396643d5177c17ff98a54c61300447,66b23f8eec01ef72aa7fa736,2024-08-06 17:21:50.056,100.0,True,False,0.43470144271850586
cb396643d5177c17ff98a54c61300447,66b23f6526943bbfc41c8889,2024-08-06 17:21:09.539,0.0,True,False,0.5323617458343506
cb396643d5177c17ff98a54c61300447,66b23f56ac2f50fd0ed42af9,2024-08-06 17:20:54.133,0.0,True,False,0.4705977439880371
cb396643d5177c17ff98a54c61300447,66b23f47ac2f50fd0ed42af4,2024-08-06 17:20:39.910,0.0,True,False,0.48552513122558594
cb396643d5177c17ff98a54c61300447,66b23ee41abc3550cffd3918,2024-08-06 17:19:00.025,0.0,False,False,0.0
d62dbb4e2f7aa01e5cdb2b77a4b27645,66b151fe1abc3550cffd3521,2024-08-06 00:28:14.554,100.0,True,False,0.5159046649932861
d62dbb4e2f7aa01e5cdb2b77a4b27645,658f253c8ba6947cb3360fcc,2023-12-29 20:59:56.468,100.0,True,False,0.46254682540893555
