student_hash,id,submitted_on,grade,compiles,regex,regex_runime
a59c781004192911c1ff94af982cd428,66c81846fda3507fd6872790,2024-08-23 07:04:06.264,0.0,True,False,0.08205389976501465
a59c781004192911c1ff94af982cd428,66c8180b163decb65c995306,2024-08-23 07:03:07.229,0.0,True,False,0.050490379333496094
86785c8b2e3770bb7fc5861be8094523,66c81759ac2f50fd0ed50acf,2024-08-23 07:00:09.554,0.0,True,False,0.09685182571411133
6f72567b71a5a0cbf70d8877bc38c99b,66c7a583ec01ef72aa803a38,2024-08-22 22:54:27.508,100.0,True,False,0.05918741226196289
6f72567b71a5a0cbf70d8877bc38c99b,66c485a1ac2f50fd0ed4c387,2024-08-20 14:01:37.017,100.0,True,False,0.03340649604797363
6f72567b71a5a0cbf70d8877bc38c99b,66c36dda1abc3550cffd880d,2024-08-19 18:07:54.487,100.0,True,False,0.004001140594482422
6f72567b71a5a0cbf70d8877bc38c99b,66c36dcf26943bbfc41cd0a4,2024-08-19 18:07:43.117,0.0,True,False,0.03585052490234375
6f72567b71a5a0cbf70d8877bc38c99b,66bcf4361abc3550cffd650f,2024-08-14 20:15:18.478,100.0,True,False,0.03159284591674805
e2d7ef67e462fd8180e62f21f7414148,66c795abfda3507fd6872476,2024-08-22 21:46:51.002,100.0,True,True,0.08503913879394531
e2d7ef67e462fd8180e62f21f7414148,66c795a01abc3550cffdbb2b,2024-08-22 21:46:40.245,0.0,False,True,0.040177106857299805
e2d7ef67e462fd8180e62f21f7414148,66c7959626943bbfc41cff6f,2024-08-22 21:46:30.765,100.0,True,True,0.01015329360961914
e2d7ef67e462fd8180e62f21f7414148,66c79589ec01ef72aa80394a,2024-08-22 21:46:17.742,100.0,True,True,0.017804622650146484
e2d7ef67e462fd8180e62f21f7414148,66c7957edad4f4d810cce629,2024-08-22 21:46:06.768,0.0,True,True,0.025435447692871094
792f02315ab8af1522c0f13373bec00d,66c78637ac2f50fd0ed503d0,2024-08-22 20:40:55.914,100.0,True,False,0.0039997100830078125
84675f2baf7140037b8f5afe54eef841,66c78064fda3507fd68722d6,2024-08-22 20:16:04.389,100.0,True,False,0.0029973983764648438
84675f2baf7140037b8f5afe54eef841,66c780421abc3550cffdb9b3,2024-08-22 20:15:30.711,0.0,False,True,0.01800084114074707
84675f2baf7140037b8f5afe54eef841,66c78006ec01ef72aa8037a1,2024-08-22 20:14:30.909,0.0,True,True,0.01918196678161621
84675f2baf7140037b8f5afe54eef841,66aa78565a361291a3a95cc7,2024-07-31 19:45:58.661,100.0,True,False,0.004168272018432617
84675f2baf7140037b8f5afe54eef841,66aa77fcac2f50fd0ed3ef26,2024-07-31 19:44:28.820,0.0,True,False,0.002000570297241211
07a88e756847244f3496f63f473d6085,66c760381abc3550cffdb866,2024-08-22 17:58:48.854,100.0,True,False,0.01616978645324707
07a88e756847244f3496f63f473d6085,66c75ffffda3507fd687212e,2024-08-22 17:57:51.597,0.0,True,False,0.02033710479736328
07a88e756847244f3496f63f473d6085,66c75fcfac2f50fd0ed5009b,2024-08-22 17:57:03.581,0.0,True,False,0.029343128204345703
07a88e756847244f3496f63f473d6085,66c75f2526943bbfc41cfcd7,2024-08-22 17:54:13.830,0.0,True,False,0.01900482177734375
07a88e756847244f3496f63f473d6085,66c75f0c26943bbfc41cfcd2,2024-08-22 17:53:48.321,0.0,False,False,0.01816701889038086
86b86014d1f8ca4f6054db174be70841,66c747685a361291a3a9dffe,2024-08-22 16:12:56.796,0.0,True,False,0.0050013065338134766
86b86014d1f8ca4f6054db174be70841,66c74730ac2f50fd0ed4fac6,2024-08-22 16:12:00.318,0.0,True,False,0.0285491943359375
86b86014d1f8ca4f6054db174be70841,66c74708fda3507fd6871e03,2024-08-22 16:11:20.005,0.0,True,False,0.030519723892211914
e9991293234ce4cc0d9643f88eb299e3,66c736f7ac2f50fd0ed4f630,2024-08-22 15:02:47.117,100.0,True,False,0.021001815795898438
e9991293234ce4cc0d9643f88eb299e3,66c3431bdad4f4d810cca400,2024-08-19 15:05:31.468,100.0,True,True,0.020000219345092773
e9991293234ce4cc0d9643f88eb299e3,66bc4dccfda3507fd686c660,2024-08-14 08:25:16.890,100.0,True,True,0.025494813919067383
e9991293234ce4cc0d9643f88eb299e3,66bc4dafac2f50fd0ed47356,2024-08-14 08:24:47.522,100.0,True,True,0.03900027275085449
